# //  Questa Sim-64
# //  Version 2019.4 linux_x86_64 Oct 15 2019
# //
# //  Copyright 1991-2019 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading project DES_post
# Compile of tb_TopModule.v was successful.
# Compile of TopModule_m.v was successful.
# Compile of top_pad_m.v was successful.
# 3 compiles, 0 failed with no errors.
vsim DES_post.tb_TopModule -voptargs=+acc
# vsim DES_post.tb_TopModule -voptargs="+acc" 
# Start time: 15:50:00 on Nov 22,2025
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading work.tb_TopModule(fast)
# Loading work.TopModule(fast)
# Loading work.DFFQSRX1(fast)
# Loading work.AND2X1(fast)
# Loading work.MUX2X1(fast)
# Loading work.NOR2X1(fast)
# Loading work.NAND2X1(fast)
# Loading work.INVX2(fast)
# Loading work.OR2X1(fast)
# Loading work.NAND3X1(fast)
# Loading work.XOR2X1(fast)
# Loading work.INVX4(fast)
add wave -position insertpoint  \
sim:/tb_TopModule/clk \
sim:/tb_TopModule/rst \
sim:/tb_TopModule/sclk \
sim:/tb_TopModule/cs_n \
sim:/tb_TopModule/mosi \
sim:/tb_TopModule/miso \
sim:/tb_TopModule/key \
sim:/tb_TopModule/plaintext \
sim:/tb_TopModule/ciphertext \
sim:/tb_TopModule/decrypted \
sim:/tb_TopModule/timeout_counter
run -all
# === ENCRYPTION TEST 1 : Default test vector ===
# Key:       752878397493cb70
# Plaintext: 1122334455667788
# Expected:  b5219ee81aa7499d
# 
#  encryption progress
# 
# --- ENCRYPTION RESULT ---
# Ciphertext: b5219ee81aa7499d
# Expected:   b5219ee81aa7499d
# PASS
# 
# === DECRYPTION TEST ===
# Key:        752878397493cb70
# Ciphertext: b5219ee81aa7499d
# 
#  decryption progress
# 
# --- DECRYPTION RESULT ---
# Decrypted:  1122334455667788
# Expected:   1122334455667788
# PASS
# 
# === ENCRYPTION TEST 2 : Default test vector ===
# Key:       123456abcd132536
# Plaintext: aabb09182736ccdd
# Expected:  c0b7a8d05f3a829c
# 
#  encryption progress
# 
# --- ENCRYPTION RESULT ---
# Ciphertext: ac85a39bab193fd5
# Expected:   ac85a39bab193fd5
# PASS
# 
# === DECRYPTION TEST ===
# Key:        123456abcd132536
# Ciphertext: ac85a39bab193fd5
# 
#  decryption progress
# 
# --- DECRYPTION RESULT ---
# Decrypted:  aabb09182736ccdd
# Expected:   aabb09182736ccdd
# PASS
# 
# === ENCRYPTION TEST 3 : All zeros ===
# Key:       0000000000000000
# Plaintext: 0000000000000000
# Expected:  8ca64de9c1b123a7
# 
#  encryption progress
# 
# --- ENCRYPTION RESULT ---
# Ciphertext: 8ca64de9c1b123a7
# Expected:   8ca64de9c1b123a7
# PASS
# 
# === DECRYPTION TEST ===
# Key:        0000000000000000
# Ciphertext: 8ca64de9c1b123a7
# 
#  decryption progress
# 
# --- DECRYPTION RESULT ---
# Decrypted:  0000000000000000
# Expected:   0000000000000000
# PASS
# 
# === ENCRYPTION TEST 4 : All fs ===
# Key:       ffffffffffffffff
# Plaintext: ffffffffffffffff
# Expected:  7359b2163e4edc58
# 
#  encryption progress
# 
# --- ENCRYPTION RESULT ---
# Ciphertext: 7359b2163e4edc58
# Expected:   7359b2163e4edc58
# PASS
# === DECRYPTION TEST ===
# Key:        ffffffffffffffff
# Ciphertext: 7359b2163e4edc58
# 
#  decryption progress
# 
# --- DECRYPTION RESULT ---
# Decrypted:  ffffffffffffffff
# Expected:   ffffffffffffffff
# PASS
# ============
# ** Note: $stop    : /home/u1425837/des-project/modelsim/tb_TopModule.v(415)
#    Time: 233905 ns  Iteration: 0  Instance: /tb_TopModule
# Break in Module tb_TopModule at /home/u1425837/des-project/modelsim/tb_TopModule.v line 415
# Causality operation skipped due to absence of debug database file
